contentId,id,addr1,addr2
24502,2741613,경기도 용인시 ,경기도 용인시 기흥구
24503,2741614,서울특별시 강동구 ,서울특별시 강동구 올림픽로
24504,2741615,경기도 평택시 ,경기도 평택시 팽성읍
24505,2741616,전라남도 장성군 ,전라남도 장성군 장성읍
24506,2741617,경기도 평택시 ,경기도 평택시 안중읍
24507,2741618,경기도 평택시 ,경기도 평택시 평택로39번길
24508,2741619,경기도 평택시 ,경기도 평택시 포승읍
24509,2741620,서울특별시 강서구 ,서울특별시 강서구 강서로
24510,2741621,경기도 평택시 ,경기도 평택시 서정역로47번길
24511,2741622,전라남도 장성군 ,전라남도 장성군 장성읍
24512,2741623,경기도 화성시 ,경기도 화성시 남양읍
24513,2741624,서울특별시 강서구 ,서울특별시 강서구 강서로
24514,2741625,경기도 화성시 ,경기도 화성시 봉담읍
24515,2741626,서울특별시 강서구 ,서울특별시 강서구 발산로
24516,2741627,경기도 김포시 ,경기도 김포시 김포한강11로331번길
24517,2741631,경상남도 거제시 ,경상남도 거제시 일운면
24518,2742052,경기도 광주시 ,경기도 광주시 경안로98번길
24519,2742062,경기도 광주시 ,경기도 광주시 곤지암읍
24520,2742071,경기도 광주시 ,경기도 광주시 퇴촌면
24521,2742072,경상북도 경주시 ,경상북도 경주시 배동
24522,2742073,전라남도 목포시 ,전라남도 목포시 번화로
24523,2742075,경기도 의왕시 ,경기도 의왕시 청계동
24524,2742077,전라남도 여수시 ,전라남도 여수시 고소3길
24525,2742078,경기도 용인시 ,경기도 용인시 처인구
24526,2742086,경기도 광주시 ,경기도 광주시 곤지암읍
24527,2742093,경기도 광주시 ,경기도 광주시 장지9길
24528,2742096,경기도 의왕시 ,경기도 의왕시 청계로
24529,2742100,전라남도 담양군 ,전라남도 담양군 담양읍
24530,2742102,경기도 광주시 ,경기도 광주시 퇴촌면
24531,2742109,경기도 광주시 ,경기도 광주시 퇴촌면
24532,2742112,전라남도 신안군 ,전라남도 신안군 자은면
24533,2742113,경기도 용인시 ,경기도 용인시 처인구
24534,2742114,경기도 광주시 ,경기도 광주시 오포읍
24535,2742115,경기도 광주시 ,경기도 광주시 오포읍
24536,2742116,경기도 의왕시 ,경기도 의왕시 고천동
24537,2742117,경기도 광주시 ,경기도 광주시 초월읍
24538,2742118,강원도 양구군 ,강원도 양구군 양구읍
24539,2742122,경기도 광주시 ,경기도 광주시 이배재로
24540,2742125,경기도 용인시 ,경기도 용인시 기흥구
24541,2742128,전라남도 신안군 ,전라남도 신안군 팔금면
24542,2742129,경기도 김포시 ,경기도 김포시 운양로97번길
24543,2742133,전라남도 신안군 ,전라남도 신안군 안좌면
24544,2742135,경기도 의왕시 ,경기도 의왕시 학의동
24545,2742140,경기도 용인시 ,경기도 용인시 기흥구
24546,2742141,경기도 김포시 ,경기도 김포시 양촌읍
24547,2742142,경기도 김포시 ,경기도 김포시 양촌읍
24548,2742145,전라남도 신안군 ,전라남도 신안군 팔금면
24549,2742146,경기도 김포시 ,경기도 김포시 고촌읍
24550,2742150,경기도 김포시 ,경기도 김포시 중봉로33번길
24551,2742152,경상남도 남해군 ,경상남도 남해군 삼동면
24552,2742153,경기도 김포시 ,경기도 김포시 고촌읍
24553,2742157,경기도 부천시 ,경기도 부천시 부일로237번길
24554,2742158,경기도 용인시 ,경기도 용인시 처인구
24555,2742159,전라남도 여수시 ,전라남도 여수시 소라면
24556,2742160,경상남도 남해군 ,경상남도 남해군 삼동면
24557,2742161,경기도 용인시 ,경기도 용인시 수지구
24558,2742165,경기도 부천시 ,경기도 부천시 고리울로64번길
24559,2742167,경기도 용인시 ,경기도 용인시 수지구
24560,2742170,경기도 용인시 ,경기도 용인시 처인구
24561,2742171,경기도 용인시 ,경기도 용인시 수지구
24562,2742172,경상남도 남해군 ,경상남도 남해군 창선면
24563,2742173,경기도 부천시 ,경기도 부천시 원종로85번길
24564,2742174,경기도 용인시 ,경기도 용인시 기흥구
24565,2742175,전라남도 여수시 ,전라남도 여수시 돌산읍
24566,2742176,경기도 용인시 ,경기도 용인시 수지구
24567,2742179,경기도 시흥시 ,경기도 시흥시 서해안로
24568,2742192,경기도 용인시 ,경기도 용인시 처인구
24569,2742193,경기도 용인시 ,경기도 용인시 수지구
24570,2742194,울산광역시 동구 ,울산광역시 동구 등대로
24571,2742199,전라남도 장성군 ,전라남도 장성군 삼계면
24572,2742202,경기도 부천시 ,경기도 부천시 심곡로34번길
24573,2742203,대구 달성군 ,대구 달성군 논공읍
24574,2742205,경기도 부천시 ,경기도 부천시 역곡로344번길
24575,2742209,전라남도 장성군 ,전라남도 장성군 황룡면
24576,2742211,경기도 부천시 ,경기도 부천시 상이로85번길
24577,2742212,대구광역시 달성군 ,대구광역시 달성군 논공읍
24578,2742213,전라남도 장성군 ,전라남도 장성군 장성읍
24579,2742215,경기도 부천시 ,경기도 부천시 소사로
24580,2742220,경기도 부천시 ,경기도 부천시 역곡로
24581,2742223,경기도 의왕시 ,경기도 의왕시 학현로
24582,2742224,대구광역시 달성군 ,대구광역시 달성군 가창면
24583,2742225,전라북도 군산시 ,전라북도 군산시 새만금북로
24584,2742229,경기도 의왕시 ,경기도 의왕시 왕송못서길
24585,2742232,경기도 의왕시 ,경기도 의왕시 독정이길
24586,2742233,전라북도 완주군 ,전라북도 완주군 이서면
24587,2742234,대구광역시 달성군 ,대구광역시 달성군 유가읍
24588,2742235,경기도 의왕시 ,경기도 의왕시 학현로
24589,2742236,경기도 부천시 ,경기도 부천시 역곡로284번길
24590,2742239,경기도 의왕시 ,경기도 의왕시 한직골남로
24591,2742243,경기도 부천시 ,경기도 부천시 길주로77번길
24592,2742244,경기도 의왕시 ,경기도 의왕시 백운로
24593,2742245,대구광역시 동구 ,대구광역시 동구 화랑로25길
24594,2742247,전라북도 정읍시 ,전라북도 정읍시 시기4길
24595,2742252,경기도 부천시 ,경기도 부천시 대장로
24596,2742255,대구광역시 북구 ,대구광역시 북구 대현로20길
24597,2742256,제주특별자치도 서귀포시 ,제주특별자치도 서귀포시 성산읍
24598,2742257,제주특별자치도 서귀포시 ,제주특별자치도 서귀포시 말질로
24599,2742259,경기도 의왕시 ,경기도 의왕시 바라산로
24600,2742263,대구광역시 중구 ,대구광역시 중구 북성로
24601,2742265,대구광역시 동구 ,대구광역시 동구 동북로71길
24602,2742267,제주특별자치도 제주시 ,제주특별자치도 제주시 한경면
24603,2742282,경기도 수원시 ,경기도 수원시 권선구
24604,2742297,제주특별자치도 제주시 ,제주특별자치도 제주시 한림읍
24605,2742299,경기도 수원시 ,경기도 수원시 권선구
24606,2742300,대구광역시 동구 ,대구광역시 동구 파계로
24607,2742301,제주특별자치도 서귀포시 ,제주특별자치도 서귀포시 안덕면
24608,2742307,제주특별자치도 제주시 ,제주특별자치도 제주시 한경면
24609,2742316,경기도 수원시 ,경기도 수원시 영통구
24610,2742328,대구광역시 동구 ,대구광역시 동구 율하동로
24611,2742344,제주특별자치도 제주시 ,제주특별자치도 제주시 애월읍
24612,2742354,대구광역시 남구 ,대구광역시 남구 명덕로14길
24613,2742357,제주특별자치도 제주시 ,제주특별자치도 제주시 한림읍
24614,2742373,제주특별자치도 제주시 ,제주특별자치도 제주시 한경면
24615,2742376,대구광역시 북구 ,대구광역시 북구 동북로
24616,2742396,대구광역시 북구 ,대구광역시 북구 매천로18길
